# debug_encoders_acs v1.0 (config real bringup 2026-05-31)
# variant=all-bts7960 acs712=6x20A duty_target=40 hold_ms=3000
# csv_cols=t_ms,duty,t_fr,t_fl,t_cr,t_cl,t_rr,t_rl,i_fr,i_fl,i_cr,i_cl,i_rr,i_rl
# countdown 3...
# countdown 2...
# countdown 1...
# event=baseline
7400,0,-18622,0,-8990,6395,-8999,8920,5327,5229,5229,5229,9579,5327
7440,0,-18622,0,-8990,6395,-8999,8920,5376,5327,5229,5229,9530,5278
7480,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5229,5229,9530,5376
7520,0,-18622,0,-8990,6395,-8999,8920,5278,5278,5180,5327,9481,5229
7560,0,-18622,0,-8990,6395,-8999,8920,5425,5229,5180,5229,9579,5278
7600,0,-18622,0,-8990,6395,-8999,8920,5278,5278,5229,5327,9579,5229
7640,0,-18622,0,-8990,6395,-8999,8920,5376,5376,5180,5327,9579,5229
7680,0,-18622,0,-8990,6395,-8999,8920,5278,5229,5180,5278,9579,5327
7720,0,-18622,0,-8990,6395,-8999,8920,5327,5327,5278,5327,9481,5229
7760,0,-18622,0,-8990,6395,-8999,8920,5425,5229,5180,5229,9628,5278
7800,0,-18622,0,-8990,6395,-8999,8920,5278,5229,5229,5327,9530,5229
7840,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5229,5229,9530,5278
7880,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5180,5327,9579,5229
7920,0,-18622,0,-8990,6395,-8999,8920,5278,5278,5278,5278,9579,5229
7960,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5131,5229,9530,5327
8000,0,-18622,0,-8990,6395,-8999,8920,5327,5229,5229,5278,9530,5278
8040,0,-18622,0,-8990,6395,-8999,8920,5376,5278,5131,5229,9579,5327
# done — reset Mega para repetir
8080,0,-18622,0,-8990,6395,-8999,8920,5425,5376,5180,5229,9579,5474
9080,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5278,5278,9530,5229
10080,0,-18622,0,-8990,6395,-8999,8920,5278,5229,5229,5327,9530,5278
11080,0,-18622,0,-8990,6395,-8999,8920,5327,5229,5131,5278,9579,5327
12080,0,-18622,0,-8990,6395,-8999,8920,5327,5180,5229,5278,9530,5278
13080,0,-18622,0,-8990,6395,-8999,8920,5327,5278,5278,5327,9530,5278
